experiment,regime,num_examples,num_aligned_examples,sample_target_met,claim_scope,dual_vs_pressure_disagreement_rate,dual_win_rate,pressure_win_rate,tie_rate,dual_mean_oracle_regret,pressure_mean_oracle_regret,mean_oracle_regret_delta_pressure_minus_dual,dual_worst_case_regret,pressure_worst_case_regret,selected_atoms_dual,selected_atoms_pressure,rule_text_path
block3_static_pressure_failure_kill_gate,corridor_bottleneck_proxy,200,200,True,static_sample_relative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dual_sensitivity,pressure_backpressure,/home/samuel/projects/pi_light_OR/experiments/dual_sensitivity/block3_static_kill_gate_rules.txt
block3_static_pressure_failure_kill_gate,demand_shift_proxy,200,200,True,static_sample_relative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dual_sensitivity,pressure_backpressure,/home/samuel/projects/pi_light_OR/experiments/dual_sensitivity/block3_static_kill_gate_rules.txt
block3_static_pressure_failure_kill_gate,incident_capacity_drop,200,200,True,static_sample_relative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dual_sensitivity,pressure_backpressure,/home/samuel/projects/pi_light_OR/experiments/dual_sensitivity/block3_static_kill_gate_rules.txt
block3_static_pressure_failure_kill_gate,slack,200,200,True,static_sample_relative,0.0,0.0,0.0,1.0,7.105427357601002e-13,7.105427357601002e-13,0.0,2.8421709430404007e-11,2.8421709430404007e-11,dual_sensitivity,pressure_backpressure,/home/samuel/projects/pi_light_OR/experiments/dual_sensitivity/block3_static_kill_gate_rules.txt
block3_static_pressure_failure_kill_gate,storage_binding,200,200,True,static_sample_relative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dual_sensitivity,pressure_backpressure,/home/samuel/projects/pi_light_OR/experiments/dual_sensitivity/block3_static_kill_gate_rules.txt
block3_static_pressure_failure_kill_gate,supply_binding_proxy,200,200,True,static_sample_relative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dual_sensitivity,pressure_backpressure,/home/samuel/projects/pi_light_OR/experiments/dual_sensitivity/block3_static_kill_gate_rules.txt
